"","MDS1","MDS2","MDS3"
"LSCS_159",1.10854686435096,0.139098046512662,-0.36671842530437
"LSCS_162",0.0236136482257261,-0.467743679555302,0.124253300280584
"LSCS_45",-4.13504477872554,-1.95136005164546,0.664481812639817
"LSCS_46",-2.39272739503085,1.67312749250347,-0.923225736824112
"LSCS_50",-0.135684072196925,0.877255312677356,-0.472691085546321
"LSCS_52",0.311505569610632,0.687855952783006,-0.675544637794462
"LSCS_55",0.159753891311229,0.792282001613775,-0.84113973278532
"LSCS_56",0.549918267763516,0.724406927974729,1.31986850105691
"LSCS_58",0.695442847692505,0.32773940855076,-0.412708746383527
"LSCS_69",-0.779743417864799,-1.31232981262005,0.145242701865674
"LSCS_70",0.725124539443614,0.37661573105346,-0.208122653746153
"LSCS_71",0.714195435784284,0.4065819333727,-0.194153535799808
"LSCS_72",-0.385290725519963,-0.240412782248539,-0.564386730741175
"LSCS_73",-1.42725506883151,0.302377730968165,1.04769544778399
"LSCS_74",0.831153389072656,0.331595718897666,0.380354043830321
"LSCS_75",0.684589886461818,0.335019878281199,-0.424750446980764
"LSCS_76",-0.294727383712885,-0.0591352675466462,-0.510260045181337
"LSCS_78",4.00920285728304,0.0387632339252055,0.171140748346235
"LSCS_81",0.341799528534435,0.643111446738486,-0.685107211186044
"LSCS_84",0.868515939925741,0.327446376511717,0.772680774312069
"LSCS_87",0.856774720221038,0.337018784087312,0.761893234302807
"LSCS_88",0.823090720677252,0.425173951946036,0.939809737316175
"LSCS_89",0.704926737597819,0.59940908690178,1.14242474896371
"LSCS_92",-4.62284762347993,-1.32210257653392,0.234823230413309
"LSCS_93",-2.32686624149748,1.73118575409837,-0.952484221457641
"LSCS_94",-0.810983725415747,-0.308234775358161,0.056675253822081
"LSCS_95",-2.0080058463073,1.76792306051318,-0.0940268438312139
"LSCS_96",-2.46002472566832,1.56120529927433,-0.728914175409348
"LSCS_97",-2.42873616107464,1.54698817001387,-0.606155144616421
"LSCS_98",-2.47352036239312,1.49085053027523,-0.518740308476653
