"","MDS1","MDS2"
"LSCS_143",-1.97033627591941,0.519707079846893
"LSCS_146",0.512487772082101,-0.220410448713898
"LSCS_148",0.0787121027495397,0.223658601798812
"LSCS_150",0.666809053255147,0.223271326220398
"LSCS_151",-0.504877265486052,-1.04486136632784
"LSCS_152",0.473225904321188,-0.271983578307449
"LSCS_154",0.898702792528181,0.99937334510227
"LSCS_155",0.514382177986037,-0.122971308542783
"LSCS_156",0.508472945940347,-0.206573382976429
"LSCS_159",1.02240859817738,-0.198476211846163
"LSCS_162",-0.061626705200339,0.316164696928156
"LSCS_45",-4.77477667642574,0.633453269749605
"LSCS_46",-1.36180358494276,-1.89166917681049
"LSCS_50",0.0133162403994074,-0.584651264700789
"LSCS_52",0.346152148177987,-0.485729603452339
"LSCS_55",0.307970321891635,-0.627433013838474
