Photo_ID,Magnification,Conversion_factor,Measurement_pixels,Measurement_um
HBWF_37_04,1.61,4.3449759,334.0539,1451.456145
HBWF_37_05,1.61,4.3449759,294,1277.422915
HBWF_37_06,1.61,4.3449759,222.0023,964.5946432
HBWF_37-2_,1.61,4.33809,660.097,2863.560195
HBWF_37-2_01,1.61,4.3449759,638.6588,2774.957094
HBWF_37-2_02,1.61,4.3449759,390.7019,1697.59034
HBWF_37-2_03,1.61,4.3449759,318.0645,1381.982587
HBWF_37-2_04,1.61,4.3449759,277.3536,1205.094708
HBWF_38_,1.61,4.3449759,806.3405,3503.53004
HBWF_38_01,1.61,4.3449759,607.4084,2639.174859
HBWF_38_02,1.61,4.3449759,573.5399,2492.017043
HBWF_38_03,1.61,4.3449759,497.7489,2162.706975
HBWF_38_04,1.61,4.3449759,398.7994,1732.773782
HBWF_38_05,1.61,4.3449759,289.1159,1256.201618
HBWF_38_06,1.61,4.3449759,204.8414,890.0309463
HBWF_38_07,1.61,4.3449759,159.8924,694.7286246
HBWF_38-2_,1.61,4.33809,669.2593,2903.307077
HBWF_38-2_01,1.61,4.33809,623.0201,2702.717266
HBWF_38-2_03,1.61,4.33809,515.6297,2236.848045
HBWF_38-2_04,1.61,4.33809,487.6474,2115.458309
HBWF_38-2_05,1.61,4.33809,410.8382,1782.253087
HBWF_38-2_06,1.61,4.33809,390.4216,1693.684039
HBWF_38-2_07,1.61,4.33809,327.0015,1418.561937
HBWF_38-2_08,1.61,4.33809,254.2833,1103.103841
HBWF_39_,1.61,4.33809,931.8637,4042.508598
HBWF_39_01,1.61,4.33809,625.4918,2713.439723
HBWF_39_02,1.61,4.33809,613.4012,2660.989612
HBWF_39_03,1.61,4.33809,556.2913,2413.241726
HBWF_39_04,1.61,4.33809,405.6316,1759.666388
HBWF_39_05,1.61,4.33809,400.1596,1735.928359
HBWF_39_06,1.61,4.33809,290.3739,1259.668112
HBWF_39_07,1.61,4.33809,246.9028,1071.086568
HBWF_39_08,1.61,4.33809,220.5538,956.7822342
HBWF_39_09,1.61,4.33809,172.8612,749.8874431
HBWF_39_10,1.61,4.33809,176.8672,767.2658316
HBWF_39-2_,1.61,4.33809,890,3860.9001
HBWF_39-2_01,1.61,4.33809,718.0843,3115.114321
HBWF_39-2_02,1.61,4.33809,684.5327,2969.564461
HBWF_39-2_03,1.61,4.33809,591.0541,2564.045881
HBWF_39-2_04,1.61,4.33809,538.8358,2337.518196
HBWF_39-2_05,1.61,4.33809,556.1196,2412.496876
HBWF_39-2_06,1.61,4.33809,466.7248,2024.694188
HBWF_39-2_07,1.61,4.33809,437.4403,1897.655391
HBWF_39-2_08,1.61,4.33809,322.4903,1398.991946
HBWF_39-2_09,1.61,4.33809,273.6732,1187.218972
LSCS_36_,1.61,3.396197,1118.143,3797.433902
LSCS_36_01,1.61,3.396197,960.0422,3260.49244
LSCS_36_02,1.61,3.396197,705.0028,2394.328394
LSCS_36_03,1.61,3.396197,593.0034,2013.956368
LSCS_36_04,1.61,3.396197,298.0067,1012.089461
LSCS_36_05,1.61,3.396197,450.4054,1529.665468
LSCS_36_06,1.61,3.396197,189.2749,642.8148476
LSCS_36_07,1.61,3.396197,364.0055,1236.234387
LSCS_36_08,1.61,3.396197,291.5476,990.1530845
LSCS_36_09,1.61,3.396197,181.705,617.1059759
